序号,核心词汇,简要解释
1,internship,<美>实习医师
2,trial,审判
3,untimely,不适时的，不合时宜的
4,omelet,煎蛋饼
5,moth,蛾
6,champagne,香槟酒
7,dive,潜水
8,raft,木筏
9,slit,切开，撕开
10,draw,拖
11,cataract,大瀑布
12,foam,泡沫
13,omnibus,公共汽车
14,scamper,奔跑
15,brisk,快的； 轻快的
16,toil,长时间或辛苦地工作
17,scrub,用力擦洗，刷洗
18,shear,大剪刀
19,ravage,破坏；毁坏；毁坏后的残迹
20,crate,箱
21,fruiterer,水果商
22,extract,榨取
23,canvas,帆布
24,garnish,装饰，文饰； 给…加配菜
25,glistening,闪耀的，反光的
26,spiced,含香料的； 五香的
27,baked,烘烤制作的
28,brass,黄铜
29,liquor,酒，烈性酒
30,orchestra,管弦乐队
31,gaudy,花哨的
32,permeate,弥漫； 遍布；感染，传播； 渗入
33,perish,死亡，丧生
34,penetrate,穿透，刺入； 渗入
35,perpetrate,犯（罪）； 做（恶）
36,innuendo,暗讽，讽刺； 影射
37,prodigality,浪费；慷慨；丰富
38,swell,增强； 肿胀； 膨胀
39,hush,（使）安静下来；安静，寂静
40,obligingly,亲切地
41,erroneous,错误的
42,understudy,预备演员，替角
43,chauffeur,受雇于人的汽车司机
44,peculiar,奇怪的，古怪的； 异常的
45,flannel,法兰绒，绒布
46,earnest,热心的； 诚挚的
47,agonizingly,使人烦恼地；苦闷地
48,vicinity,附近，邻近； 附近地区
49,dizzy,头昏眼花的
50,dreadful,可怕的； 令人畏惧的
51,whereabouts,在什么地方
52,vehemently,竭尽全力地
53,purposeless,无目的的
54,coin,创造
55,legitimate,合法的，合理的
56,consensual,经双方同意的，一致同意的
57,hallucination,幻觉，幻想
58,graphic,图解的，用图表示的
59,prescient,有先见之明的
60,myriad,无数的； 多种的
61,tremendous,"极大的, 巨大的"
62,breach,破裂； 缺口；漏洞
63,prominent,突出的，杰出的
64,surveillance,监视，监控
65,contractor,订约人，承包人
66,domain,范围，领域
67,sabotage,破坏活动
68,affiliate,附属于
69,controversial,有争议的，引起争议的
70,contradictory,矛盾的
71,complementary,互补的
72,congruent,符合的； 一致的
73,espionage,侦察； 间谍活动
74,anticipate,预知；预料
75,malicious,恶意的；恶毒的
76,geeky,令人讨厌的
77,resilient,有复原力的；适应力强的
78,vengeance,报复，复仇
79,bastion,堡垒
80,mediocre,普通的；平凡的
81,mediocrity,平庸，平凡；平庸的人
82,bloated,浮肿的
83,fourfold,四倍的
84,pervasive,无处不在地； 遍布地
85,liberate,解放； 释放
86,tenure,占有（职位，不动产等）;授予…终身职位
87,knowingly,特意地； 故意地
88,prestige,威信，威望，声望
89,decisive,决定性的
90,euphemism,委婉语；委婉说法
91,analogy,类比；类推；类似
92,metaphor,暗喻，隐喻；比喻说法
93,personification,人格化；化身；拟人法（一种修辞手法）；象征
94,literally,确实地，真正地；逐字地； 照字面地
95,douse,浇水在…上
96,monetary,货币的，金钱的
97,pertinent,有关的
98,drought,干旱（时期），旱季
99,gallon,加仑（容量单位）
100,warranted,（制造商）担保的，保证的
101,inference,推理； 推断
102,adversarial,敌手的，对手的
103,implication,涉及
104,intimate,亲密的，亲近的
105,residue,残余，残渣
106,tactics,战术； 策略
107,dialectical,方言的，辩证的
108,namely,即，也就是说
109,paradigm,范例，样式
110,polarize,使两极分化
111,proponent,支持者，拥护者
112,synch,同时发生，同步
113,platitude,陈词滥调
114,pretext,借口，托辞
115,hurdle,障碍，困难
116,chastise,严惩（某人）
117,speculative,投机的； 思考的
118,tidbit,趣闻
119,rarity,稀有，罕见
120,numb,麻木的，失去感觉的
121,marijuana,大麻
122,diarrhea,腹泻
123,sanitation,卫生设备，卫生环境
124,frenetic,发狂的，狂热的
125,indulgence,沉溺；放纵
126,extravagant,过度的；浪费的，奢侈的
127,plausible,可信的，貌似合理的
128,ritual,仪式，惯例
129,corollary,必然的结果；推论
130,instinct,本能，天性
131,revelation,启示；揭露
132,indignant,愤慨的，愤怒的
133,docile,温顺的，容易教的
134,disobedient,不服从的，违背的
135,fickleness,浮躁，变化无常
136,gratitude,感激，感谢
137,betray,出卖，背叛
138,begrudging,吝惜的；勉强的；妒忌的
139,conspire,共同促成；密谋
140,steadfastness,坚定不移
141,tenacity,固执；不屈不挠
142,stubbornly,固执地
143,totter,踉跄，蹒跚
144,senile,高龄的，老龄的
145,buckle,扣住；皮带扣
146,wheeze,喘息，呼哧呼哧的作响
147,gasp,气喘吁吁
148,stern,严厉的，坚定的
149,clutch,离合器
150,willful,任性的，有意的
151,strangle,抑制；勒死
152,leopard,美洲豹
153,crouch,蹲伏
154,duck,弯下身子，低头
155,reckless,鲁莽的
156,imperceptibly,察觉不到地
157,loop,环，圈；使成环
158,languid,倦怠的，软弱无力的
159,hum,哼唱
160,chorus,合唱团
161,squat,蹲着的，矮胖的
162,majestically,庄严地，威严地
163,shudder,发抖，颤栗
164,tremble,颤抖
165,spout,喷出
166,radiator,散热器
167,crawl,匍匐前进
168,stroll,散步，漫步
169,flush,旺盛
170,ubiquitous,无处无在的，普遍的
171,corridor,走廊
172,habitat,栖息地
173,buzzword,流行词
174,multiple,许多的，多重的
175,spatial,空间的
176,megacity,大城市（人口超过1000万）
177,temperate,温和的
178,arid,干旱的
179,compromise,危害；妥协
180,topography,地势，地形学
181,homogenize,使类同，使一致
182,aesthetic,美学的，审美的
183,portable,便携的，手提的
184,envision,展望，预想
185,incorporate,合并；体现
186,heritage,遗产
187,psycholinguistic,心理语言学
188,tacit,缄默的，心照不宣的
189,explicit,明确的，清楚的；直率的
190,aggression,攻击；挑衅
191,fossil,化石
192,skull,头盖骨
193,outraged,暴怒的
194,bizarre,奇怪的
195,consensus,共识，一致
196,obedience,顺从，服从
197,nurture,培养
198,allocate,分配
199,deteriorating,恶化的
200,predisposition,倾向
201,coercion,威迫，恐吓
202,inadvertently,无意地
203,advert,注意
204,propensity,倾向
205,gratification,满足
206,arrogant,傲慢无礼的
207,irritable,易怒的
208,pinched,憔悴的
209,proximity,接近
210,pedantic,学究式的
211,conducive,有益的
212,monotony,单调
213,facetiously,开玩笑地
214,freckled,有斑的
215,flatter,谄媚；使高兴
216,frill,装饰
217,bunk,铺位
218,metallic,刺耳的
219,clamor,喧嚣
220,profess,声称；公开表示
221,jolt,摇晃
222,gregarious,爱交际的
223,velocity,速度
224,generic,一般的
225,cerebral,理智的
226,omnipresent,无处不在的
227,pathology,病理学
228,stigmatize,使耻辱
229,bland,平淡乏味的
230,extrovert,外向
231,introvert,内向
232,contemplation,沉思
233,heed,注意；留心
234,cognition,认知
235,suppression,镇压；压制
236,inhibit,抑制
237,obstruct,阻碍
238,tussle,争斗，打斗
239,hone,磨练
240,ample,足够的，丰富的
241,handicap,障碍
242,ascending,上升的
243,denote,表示，表明
244,whilst,同时
245,homophones,同音同形异义词
246,arbitrarily,武断地；专横地
247,convict,证明...有罪
248,malnutrition,营养不良
249,famine,饥荒
250,adolescence,青春期
251,tavern,酒馆
252,discursive,不着边际的
253,initiative,行动，主动性
254,whistleblower,告密者
255,footage,电影片段
256,scrupulous,严谨的，小心的
257,vociferous,喧闹的
258,stridently,刺耳地
259,strikingly,引人注目地
260,pamphlet,小册子，手册
261,roomy,宽敞的
262,profound,意义深远的
263,filter,过滤
264,conduit,导管，渠道
265,anonymous,匿名的
266,baron,男爵；大亨
267,reserved,矜持的
268,ambiguous,模棱两可的
269,skeptical,怀疑的
270,chic,时髦的
271,decadence,颓废
272,hype,夸大的广告
273,blockbuster,了不起的事物
274,pornography,色情文学
275,swing,摇晃
276,condescension,屈尊
277,condescend,屈尊
278,impulse,冲动
279,bountiful,丰富的，充裕的
280,hangar,飞机库
281,scoop,抓取，舀
282,mandate,命令
283,gross,全体的，总的
284,innately,本质地，固有地
285,amenity,福利；愉快，便利设施
286,surly,脾气坏的
287,aura,气氛
288,ardent,热情的
289,flaunt,炫耀
290,allure,诱惑
291,lure,诱惑
292,preemptive,先发制人的
293,snobby,势利的
294,pantomime,哑剧
295,demeanor,行为
296,wince,畏缩，皱眉
297,haggle,讨价还价
298,incentive,刺激
299,serene,静谧的，平静的
300,bluff,虚张声势
301,outright,彻底的
302,luster,光泽
303,wanton,无节制的
304,solicitousness,渴望，殷勤
305,tinge,着色，微染色
306,decry,反对，谴责
307,stud,用饰钉装饰
308,trauma,创伤；痛苦的经历
309,frugality,节俭
310,arable,适合耕种的
311,onomatopoeia,拟声
312,interrogative,提问；质问的
313,denominator,水平，标准
314,impotent,无力的
315,rivalry,对抗
316,abuse,虐待，谩骂
317,oblivious,遗忘的；忘却的
318,scarcity,缺乏，不足
319,infiltrate,渗入，使潜入
320,cascade,小瀑布
321,trump,胜过
322,crunch,嘎嘎作响；
323,outrageous,暴怒的，令人吃惊的
324,invidiously,招人怨恨地，不公平地
325,extracurricular,课外的
326,fraternity,兄弟会，兄弟情
327,veteran,老兵；老手
328,affection,喜爱
329,boggle,犹豫，退缩；搞糟，弄坏
330,alumni,男校友；男毕业生（alumnus的复数）
331,alumna,女毕业生；女校友
332,cruise,巡航，巡游
333,affinity,亲密关系
334,hostile,有敌意的
335,rhetorical,修辞的
336,prelude,前奏，序曲
337,stocky,健壮的；结实的，矮壮的
338,stoop,门廊；弯腰，屈背；
339,squirt,傲慢无礼的年轻人；；喷射
340,session,开会，会议
341,pave,铺设
342,legacy,遗产
343,totalitarian,极权主义者
344,refute,反驳，驳斥
345,unveil,揭露
346,subdue,政府，克制
347,episode,插曲；一段情节
348,compassionate,同情的
349,sage,胜任，贤人；精明的，贤明的
350,emancipator,解放者，释放者
351,magnitude,重要性；大小
352,rectify,纠正，改正
353,disparage,贬低，诋毁
354,implicitly,暗示地，含蓄地，隐晦地
355,gulp,（因紧张或兴奋）倒吸气
356,ledge,壁架；窗台
357,thoroughfare,大道
358,subdued,含蓄的，不强烈的
359,institutionalized,制度化的
360,cynical,愤世嫉俗的=unbelieving or sarcastic
361,anonymity,匿名 anonymous形容词为“匿名的”
362,hub,中心=center n
363,drone,无聊的人；懒汉;=sluggard，乏味的讲话
364,drab,乏味的，
365,stark,荒凉的，光秃秃的
366,inevitable,不可避免的=unavoidable
367,outstrip,超过=surpass
368,indulge,放纵，纵容
369,lackluster,缺乏光泽的
370,notation,符号 n.
371,simultaneous,同时的；联立的；同时发生的
372,aviation,航空学，飞行术
373,prophetic,adj 预言的，先知的
374,perch,栖息 +on，位于高处
375,entrenched,根深蒂固的
376,entrench,v使牢固确立
377,decode,解码，破译 v.
378,convergence,集中
379,blur,使模糊
380,autonomy,自治权 n.
381,smudge,弄脏=smirch=smear（用粘湿弄脏）
382,understatement,轻描淡写
383,hue,色调
384,precipice,悬崖
385,attire,服装 n.
386,stiff,僵硬的
387,scrutiny,细看；scrutinize细查
388,countenance,表情，面容；支持
389,placid,平静的，温和的
390,contemplate,仔细考虑，思考
391,gleam,发光（微弱的光芒）
392,sturdy,结实的，强壮的
393,chamber,体内的腔
394,fresco,壁画 n.
395,elation,得意洋洋
396,bully,欺负 恐吓；欺负的人
397,snobbery,势利，阿谀奉承
398,oppress,压迫，使烦恼
399,evince,表明，表示
400,glee,欢乐
401,sardonic,嘲笑的，讽刺的
402,equanimity,平静，镇定
403,benevolence,仁慈，善意
404,patronage,赞助，光顾，庇护
405,entwine,盘绕，缠绕
406,deference,顺从，服从
407,ballad,民谣
408,epic,史诗
409,elegy,挽歌
410,pragmatics,语用学
411,articulation,清晰的表达
412,articulate,发音清晰的；口才好的；有关节的
413,topographical,地形学的
414,contour,等高线
415,ridge,山脊
416,mirage,海市蜃楼，幻觉=miracle
417,terrace,梯田，比赛看台
418,trek,艰苦跋涉
419,polychronic,多次的=multiple
420,cocoon,茧，蚕茧
421,chandelier,枝形吊灯
422,circumscribe,限制
423,luxuriate,纵情享乐，放纵自己
424,parlor,客厅
425,congregate,集合，聚集
426,communal,共同的，集体的
427,hierarchy,等级制度
428,huddle,蜷缩；聚在一起
429,muddle,混乱
430,aristocracy,贵族；上层社会
431,surge,洋溢；猛增
432,amiability,可爱；和蔼可亲
433,furtive,偷偷摸摸的，鬼鬼祟祟的
434,beam,光束；面露月色
435,semantics,语义学（研究语言的意义）
436,evacuate,撤离，疏散
437,torrential,似急流的，波涛汹涌的
438,rickshaw,黄包车
439,demeaning,丢脸的，低贱的
440,infrastructure,基础设施，基础结构
441,imminent,即将发生的
442,hawker,沿街叫卖者
443,clout,权利，政治上的势力，重击
444,clot,血块
445,clog,阻碍 木屐
446,sardar,司令官，将领
447,rehabilitate,恢复
448,crucial,决定性的
449,democratic,民主的
450,disembark,下船，下飞机，下车
451,hapless,倒霉的，不幸的
452,bemuse,使困惑，使不知所措
453,amnesty,赦免，大赦
454,bereft,被剥夺的，丧失的
455,covet,垂涎，觊觎
456,savvy,知道，了解；；悟性，机智
457,renowned,有名的
458,consign,托付，寄存
459,teasing,戏弄的，逗趣的
460,profusion,大量，充沛
461,bewilder,使迷惑，不知所措
462,cauldron,大锅
463,farthing,一点，极少量
464,vulgar,庸俗的，低俗的，平民的
465,gigantic,巨大的，庞大的
466,grime,污垢
467,confectionery,甜食，甜食店
468,bust,打破，打碎
469,disdain,鄙视
470,tremolo,震颤，颤音
471,sleek,有光泽的，油嘴滑舌的
472,murmur,低声说，小声说
473,gullible,轻信的
474,pristine,纯洁的，远古的
475,encumber,阻碍
476,attune,使适应，协调，调音
477,ostensible,表面上的
478,allotment,分配，拨给
479,allegory,寓言
480,sonnet,十四行诗
481,rhyme,押韵
482,morphology,形态学(尤指动植物形态学或词语形态学)
483,backformation,逆构造词
484,blend,混合
485,meadow,草地，牧场
486,hedge,树篱，保护手段；；保护，围住
487,tranquil,宁静的，平静的
488,repose,安眠，休息
489,huskiness,沙哑声
490,proprietor,老板，业主
491,fabric,布局，构造
492,province,职责，职权
493,elite,精英
494,unaffiliated,独立的，未结合的
495,sucker,呆子
496,shatter,粉碎
497,temperamental,喜怒无常的
498,loot,洗劫，掠夺
499,vermilion,朱红色的
500,servitude,奴役
501,verve,气魄；活力
502,exotic,异域的，外国的
503,manicure,修指甲，修剪
504,boulevard,林荫大道，大马路
505,acquaint,使认识 使了解
506,fascinate,使着迷
507,labyrinth,迷宫
508,bazaar,集市，慈善义卖
509,pungent,刺激的，辛辣的，（言辞）尖刻辛辣的
510,boutique,精品店
511,gourmet,美食家
512,harem,闺房
513,gear,使……适合，使……准备好
514,recruit,招聘，征召
515,genial,亲切的，友好的；愉快的，高兴的
516,conspiracy,阴谋，共谋
517,elevate,举起，提高；升职，晋升；兴高采烈
518,indiscriminate,不加选择的；随意的
519,discriminate,歧视；区分
520,applause,掌声
521,implausible,似乎不可信的，难以置信的
522,tentative,暂定的，实验性的
523,amorousness,爱情；色情
524,abrasive,磨损的；恼人的，使人受伤的
525,erotic,色情的；挑逗的
526,daunt,使恐吓；使气馁
527,dauntless,无畏的
528,arduous,辛苦的，费力的
529,amphitheater,环形剧场；斗兽场
530,bereave,剥夺；使丧失亲友
531,jut,使伸出；突出
532,stupendous,巨大的，惊人的
533,sheer,陡峭的；完全的，纯粹的；几乎透明的
534,demure,端庄的；严肃的
535,demur,抗议，反对
536,colossal,巨大的
537,shuffle,拖着脚走；洗牌
538,grimy,肮脏的
539,rivulet,小溪
540,tumble,跌倒
541,stumble,蹒跚，跌倒
542,abbot,主持，修道院院长
543,trudge,跋涉，艰难的前行
544,panoramic,全景的
545,haze,霾，薄雾
546,piety,虔诚
547,idiolect,个人习语
548,vaccination,接种疫苗
549,manicured,修剪整齐的
550,pique,激起，引起
551,bulky,庞大的，巨大的
552,eligible,有资格的，合适的
553,void,空缺，空缺职位
554,crest,定点，顶部
555,diminutive,个字矮小的
556,emissary,使者
557,paradox,悖论
558,grueling,累人的；粥
559,grumpy,脾气暴躁的
560,grumble,抱怨
561,grudge,"不情愿做,吝啬"
562,grouse,抱怨
563,grouch,不高兴的人，心怀不满的人
564,cram,挤满，塞满；死记硬背，填鸭式学的
565,fretful,烦躁不安的
566,fret,"使烦躁,使焦虑；使磨损"
567,egalitarian,平等主义的，主张平等的
568,curriculum,课程
569,prestigious,有声望的
570,melodramatic,情节剧的
571,bias,偏见
572,burgeon,萌芽；迅速发展
573,dwindle,逐渐减少
574,affluence,富裕
575,rustic,乡村的，乡下的
576,chronicle,记录，将…载入编年体
577,authentic,真正的，可信的
578,stereotypical,老一套的，陈规的
579,scrummage,争球
580,scramble,快速爬行；攀登。争夺，争抢；炒；~eggs 炒鸡蛋
581,rampart,（城堡等周围宽口的）防御土墙 ；防御，保护
582,defy,公然反抗；无法做某事
583,defiance,蔑视；挑战；反抗
584,grin,露齿而笑
585,epitomize,做…摘要；典型；是…的典范
586,metropolis,首府；大都市；重要中心
587,raucous,沙哑的；刺耳的；粗声的
588,roar,大声喊叫
589,reminiscent,怀旧的，回忆往事的；耽于回想，搭配介词of
590,reminisce,回忆；搭配介词
591,repression,抑制，压抑；镇压
592,pimp,俚皮条客；男妓
593,rage,愤怒；；大怒，发怒；
594,sobriety,节制；清醒，冷静
595,sober,清醒的；absorb v.使…全神贯注
596,brink,（峭壁的）边缘；
597,cando,私人公寓
598,lucrative,有利可图的，赚钱的；合算的
599,callous,起老茧的；无情的
600,calloused,变得无情的；长满老茧的
601,callosity,无情；老茧
602,snap,猛咬；发出尖厉声音的突然折断
603,mortgage,抵押；抵押债款
604,ultimate,最终的
605,ultimatum,最后通牒；最后结论
606,resurgence,复苏
607,centrifugal,离心的； force 离心力
608,devolution,（权利）移交，下放；退化、倒退
609,enact,颁布；制定法律
610,figurehead,傀儡
611,waterfront,水边；滩，海滨
612,esteem,尊敬；考虑；；尊重；尊敬
613,indigenous,本土的；本国的；天生的
614,compatriot,同国人；同胞
615,jersey,运动衫，毛线衫
616,feudal,封建的
617,hilarious,欢闹的；非常滑稽的；
618,amble,（马）缓行；从容漫步；（马的）缓行步态；漫步
619,swig,大口喝；
620,satchel,小背包；书包
621,grenade,手榴弹
622,anthrax,炭疽，炭疽热
623,wield,挥舞；手持；拥有（权利）
624,abstention,弃权；节制；戒绝
625,municipal,市政的，市的；政府的
