序号,核心词汇,简要解释
1,abruptly,突然地
2,absorb,吸收（液体、气体等）
3,abuse,滥用，虐待
4,academic,学校(院)的，学术的
5,access,获取；接近，入口
6,accessible,易接近的
7,accommodate,适合， 提供住宿
8,accomplish,完成
9,accumulate,积累，增加
10,accurate,精确的，准确的
11,achieve,完成，实现
12,acknowledge,承认(…的权威)
13,acquire,获得
14,acute,敏锐的
15,adapt,适应于
16,addiction,上瘾
17,additional,额外的
18,address,解决
19,adequate,足够的
20,administration,管理，政府
21,administrative,管理的
22,admire,钦佩，称赞
23,admiration,钦佩，称赞
24,admission,准许进(加)入；入场费；承认
25,admit,承认，容许
26,advance,前进，提前
27,advanced,高级的
28,advancement,进步，提升
29,advice,建议
30,advisory,报告
31,advocate,倡导
32,advocator,主张者，倡导者
33,affectionate,深情的，柔情的
34,affirmation,断言，肯定
35,affirm,断言，声明
36,afford,负担得起
37,agency,机构
38,aggressive,挑衅的，好斗的；有上进心的
39,album,粘贴簿，集邮簿，像册
40,alcohol,酒精
41,alert,提醒；；机警的
42,alter,改变
43,altitude,"海拔, 高度"
44,ambitious,有雄心的，野心勃勃的
45,analyze,分析
46,ancient,古代的
47,announce,宣布，声称
48,annual,每年的
49,annually,每年，一年一次
50,anticipate,预感
51,antique,古玩，古董
52,apartment,公寓
53,appeal,吸引，呼吁
54,appearance,"外表, 出现"
55,appetite,"欲望, 胃口"
56,applicant,申请人
57,application,申请，应用
58,apply,"应用, 申请"
59,appoint,任命，委派；约定，确定，指定
60,appointment,约会
61,appreciate,感激，欣赏
62,appreciation,评价，感激
63,approach,靠近；接近，方法
64,approve,赞成，同意
65,approval,批准，认可，赞成
66,approximately,大约
67,architect,建筑师
68,archive,档案文件
69,arrange,把…（系统地）分类
70,arrest,逮捕
71,ashamed,害羞的
72,assemble,组装；集合
73,assembly,装配
74,asset,有价值的人(或物)资产
75,assign,分配，布置
76,assignment,作业
77,associate,交往；把……联系起来
78,assume,假定，认为
79,assumption,假定，假设
80,astonish,使惊讶，使大为吃惊
81,atmosphere,气氛；大气；空气
82,attempt,尝试，试图
83,automatic,自动的
84,available,可利用的，现有的；可获得的
85,avail,"有益, 有帮助"
86,average,平常的
87,aviation,航空
88,aviate,驾驶飞机
89,avoid,避免
90,award,授予；判给；奖(金)
91,awareness,意识
92,background,背景
93,backward,向后的
94,ban,禁止
95,bankrupt,破产的，倒闭的
96,bargain,讨价还价
97,battle,战争，战役
98,behave,表现
99,beneficial,有利的，有益的
100,benefit,有益于，有助于
101,bid,出价，投标
102,blame,指责，责怪
103,bless,祝福
104,block,阻碍；街区
105,bogus,假冒的
106,boost,"推动,宣扬；促使，促进"
107,bother,打扰；麻烦
108,broad,宽的
109,budget,预算；编预算
110,burden,负担，包袱
111,bureau,局
112,calculate,计算
113,campaign,活动
114,cancel,取消
115,candidate,申请求职者；投考者；候选人
116,canteen,食堂
117,capable,能干的，有能力的
118,caregiver,照料者
119,careless,粗心的
120,casual,偶然的，随便的
121,catalogue,把……编入目录
122,caution,小心，谨慎
123,cautious,谨慎的
124,ceremony,典礼，仪式
125,challenge,挑战；质疑
126,chap,小伙子，小家伙，家伙
127,character,角色
128,characterize,以……特点
129,charity,慈善（行为）
130,cheek,脸颊
131,chef,厨师
132,chemical,化学的 n. 化学制品
133,choke,使窒息
134,circumstance,环境，境遇
135,cite,引用
136,citizen,公民
137,civilian,平民，百姓
138,civilized,文明的
139,classify,把…分类，把…分级
140,classification,分类，级别
141,client,客户
142,clinic,诊所
143,clumsy,笨拙的，不圆滑的
144,coach,教练
145,colleague,同事
146,collision,撞击；冲突
147,combine,联合，结合
148,comment,评论
149,commit,犯罪，承担义务
150,commitment,承诺，保证
151,committee,委员会
152,compare,比较，对照
153,compel,强迫
154,compensate,弥补，补偿
155,compensation,弥补，补偿
156,compete,竞争
157,competitiveness,竞争力
158,competitor,竞争者，对手
159,complacency,自满，满足
160,complain,抱怨
161,complaint,抱怨; 投诉
162,complete,完成；完整的，彻底的
163,complicated,复杂的，难懂的
164,comply,遵从
165,component,成分
166,concentration,集中
167,concept,观点，观念
168,concern,涉及，关系到
169,conclusion,结论
170,confidence,信心
171,confirm,确认；证实；批准
172,conflict,冲突
173,conform,相一致，遵守
174,confront,面对
175,connectivity,连接，联系
176,conscience,良心
177,consensus,一致意见
178,consent,允许，同意；同意，一致
179,consequence,结果，成果
180,conservative,保守的，传统的
181,considerable,相当大(或多)的
182,considerably,相当地，非常地
183,considerate,体贴的；考虑周到的
184,consist,由……组成
185,consistent,一致的
186,conspicuous,显著地
187,constant,不断的，持续的
188,constantly,不断地，时常地
189,construction,建筑
190,constructive,建设的，建设性的
191,consult,咨询
192,consultant,顾问
193,consumption,消费，消耗
194,contact,联系，接触
195,contemporary,当代的，现代的
196,content,内容
197,context,背景，环境
198,contract,合同
199,contrast,对比，反差；对比
200,contribute,捐款，贡献
201,contribution,贡献；捐献
202,convenient,方便的
203,conventional,传统的
204,convey,传达，传递
205,cooperative,合作的
206,corporate,法人的；团体的；社团的
207,counsel,忠告，建议
208,couple,夫妻，情侣
209,courageous,有勇气的
210,crash,坠落;坠毁;撞击
211,creativity,创造力
212,crisis,危机
213,critic,批评家，评论家
214,critical,批评的，爱挑剔的
215,criticize,批评；评论
216,criticism,批评
217,cultivate,培养
218,curb,控制
219,curiosity,好奇心
220,curious,好奇的
221,current,当前的
222,currently,当前；一般地
223,debt,债务
224,decent,正派的，体面的
225,decline,下降，减少；拒绝
226,decorate,装饰
227,definition,定义
228,degree,程度
229,delay,推迟，延期
230,deliberate,故意的
231,delightful,高兴的
232,deliver,发表
233,demand,需求，要求
234,democratic,民主的
235,demonstrate,证明；展示
236,density,密度
237,department,部门
238,depressed,沮丧的；萧条的
239,depressing,令人沮丧的
240,deprive,剥夺，夺去，使丧失
241,derive,得到，导出
242,deserve,值得
243,desire,渴望，欲望
244,despite,不管
245,dessert,甜点
246,detail,细节
247,detailed,细节的，详细的
248,detect,觉察;检测
249,detection,侦查；察觉
250,detective,侦探
251,determine,决定；下决心
252,determination,意志
253,device,装置，设备
254,devote,奉献，致力于
255,dictator,独裁者；专制者
256,diligent,勤奋的
257,diploma,文凭
258,disadvantage,不利情况，缺点
259,disappear,不见，消失
260,discharge,释放；排出 解雇
261,discount,折扣
262,discover,发现
263,disorderly,杂乱的
264,display,展览
265,dispute,辩论，争论
266,dissatisfy,不满意
267,distance,距离
268,distant,遥远的
269,distinguish,区别，区分
270,distinguished,显著的，杰出的
271,distract,分心
272,distracted,分心的
273,distraction,消遣；分心
274,distribute,分发
275,district,区
276,diverse,各种各样的
277,diversity,多样性；差异
278,divide,分开
279,division,除法；部门
280,document,文件
281,dominant,占优势的
282,domination,主导
283,donation,捐赠
284,donate,捐赠
285,dormitory,宿舍
286,downfall,（雨等的）大下特下
287,download,下载
288,dramatically,戏剧性地，引人注目地
289,dropout,辍学
290,due,到期的
291,dump,倾倒；倾销
292,durable,持久的，耐用的
293,ease,轻松，舒适
294,easygoing,脾气随和的，温和的
295,effect,影响
296,efficiently,有效地
297,eliminate,消除
298,embarrass,尴尬
299,embarrassed,尴尬的；窘迫的
300,embrace,拥抱；接受；采纳
301,emergence,出现，发生
302,emergency,紧急情况
303,emission,排放，辐射
304,emit,发出，排出
305,emotional,情绪的；容易激动的；感动人的
306,emphasize,强调
307,encourage,鼓励
308,endurance,耐力
309,endure,忍耐；容忍
310,engage,忙于，从事；吸引
311,engagement,约会
312,enhance,提高；加强；增加
313,enormous,巨大的
314,enrich,丰富；使富有
315,enroll,注册
316,enrollment,入学人数
317,ensure,确保
318,entertaining,有趣的，使人愉快的
319,equal,相等的，平等的
320,equality,平等
321,equivalent,相等的，相当的
322,equivalence,等值，相等
323,era,纪元，年代
324,essay,散文，文章
325,essentially,本质上地；必须的
326,establish,建立，创办，设立
327,establishment,确立，制定；公司；设施
328,esteem,自尊
329,estimate,估计
330,evidence,根据，证据，迹象
331,evident,明显的
332,evil,邪恶，罪恶
333,evolve,使发展
334,exaggerate,夸张
