序号,核心词汇,简要解释
1,abandon,放任；狂热；遗弃；放弃
2,abbey,大修道院，大寺院；修道院中全体修士或修女
3,abdomen,腹部；下腹；腹腔
4,abnormal,反常的，不规则的；变态的
5,abolish,废除，废止；取消，革除
6,aborigine,土著；土著居民
7,abound,富于；充满
8,abridge,删节；缩短；节略
9,abrupt,生硬的；突然的；唐突的；陡峭的
10,absolute,绝对的；完全的；专制的；绝对；绝对事物
11,absolve,免除；赦免；宣告…无罪
12,absorb,吸收；吸引；承受；理解；使…全神贯注
13,absorbed,被吸收的；一心一意的；吸收；使全神贯注（absorb的过去分词形式）
14,abstract,摘要；抽象；抽象的概念；抽象的；深奥的；摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
15,absurd,荒谬的；可笑的；荒诞；荒诞作品
16,abundant,丰富的；充裕的；盛产
17,abuse,滥用；虐待；辱骂；弊端；恶习，陋习；滥用；虐待；辱骂
18,academy,学院；研究院；学会；专科院校
19,accelerate,使……加快；使……增速
20,acceptable,可接受的；合意的；可忍受的
21,access,使用；存取；接近；进入；使用权；通路
22,accessory,配件；附件；[法] 从犯；副的；同谋的；附属的
23,accidental,意外的；偶然的；附属的；临时记号的；次要方面；非主要的特性；临时记号
24,accommodate,容纳；使适应；供应；调解
25,accompany,陪伴，伴随；伴奏
26,accomplish,完成；实现；达到
27,accord,符合；一致；协议；自愿；使一致；给予
28,accordion,可折叠的；手风琴
29,accountant,会计师；会计人员
30,accumulate,累积；积聚
31,accurate,精确的
32,accuse,控告，指控；谴责；归咎于
33,accustom,使习惯于
34,ace,幺点；直接得分的发球；佼佼者；（俚）最好的朋友；一流的，突出的；以发球赢一分；击败；太棒了；太好了
35,acknowledge,承认；答谢；报偿；告知已收到
36,acquaint,使熟悉；使认识
37,acquire,获得；取得；学到；捕获
38,acre,土地，地产；英亩
39,acrobat,杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
40,action,行动；活动；功能；战斗；情节
41,activate,刺激；使活动；使活泼；使产生放射性
42,acupuncture,对…施行针刺疗法；针刺；[中医] 针刺疗法
43,acute,严重的，[医] 急性的；敏锐的；激烈的；尖声的
44,adapt,使适应；改编
45,adapted,适合的；使适应，改编（adapt的过去式）
46,addict,有瘾的人；入迷的人；使沉溺；使上瘾
47,additional,附加的，额外的
48,adequate,充足的；适当的；胜任的
49,adhere,坚持；依附；粘着；追随
50,adjacent,邻近的，毗连的
51,adjust,调整，使…适合；校准
52,administer,管理；执行；给予
53,admirable,令人钦佩的；极好的；值得赞扬的
54,admiral,海军上将；舰队司令；旗舰
55,admittedly,公认地；无可否认地；明白地
56,adolescent,青春期的；未成熟的；青少年
57,adopt,采取；接受；收养；正式通过
58,adore,崇拜；爱慕；喜爱；极喜欢；(Adore)人名；(法)阿多尔
59,adulthood,成年；成人期
60,advanced,先进的；高级的；晚期的；年老的；前进；增加；上涨（advance的过去式和过去分词形式）
61,advantageous,有利的；有益的
62,adventurous,爱冒险的；大胆的；充满危险的
63,adverb,副词；副词的
64,advertising,广告；广告业；登广告；广告的；广告业的；公告；为…做广告（advertise的ing形式）
65,advisable,明智的，可取的，适当的
66,advocate,提倡，主张，拥护；提倡者；支持者；律师
67,aerial,空中的，航空的；空气的；空想的；[电讯] 天线
68,aeronautics,航空学；飞行术
69,aesthetics,美学；美的哲学
70,affair,事情；事务；私事；（尤指关系不长久的）风流韵事
71,affection,喜爱，感情；影响；感染
72,affirm,肯定；断言
73,affix,粘上；署名；将罪责加之于；[语] 词缀；附加物
74,affluent,富裕的；丰富的；流畅的；支流；富人
75,afford,给予，提供；买得起；(Afford)人名；(英)阿福德
76,affordable,负担得起的
77,aftermath,后果；余波
78,agenda,议程；日常工作事项；日程表
79,agent,代理人，代理商；药剂；特工；由…作中介；由…代理；代理的
80,aggressor,侵略者；侵略国；挑衅者
81,agony,苦恼；极大的痛苦；临死的挣扎
82,agreeable,令人愉快的；适合的；和蔼可亲的
83,aimless,没有目标的；无目的的
84,air,空气，大气；天空；样子；曲调；使通风，晾干；夸耀
85,airbase,空军基地；航空基地
86,aisle,通道，走道；侧廊
87,alas,唉（表悲伤、遗憾、恐惧、关切等等）；(Alas)人名；(西、葡、捷、土)阿拉斯
88,album,相簿；唱片集；集邮簿；签名纪念册
89,alcohol,酒精，乙醇
90,ale,麦芽酒
91,alert,警告；使警觉，使意识到；警惕的，警觉的；留心的；警戒，警惕；警报
92,alga,水藻
93,algebra,代数学
94,alien,外国的；相异的，性质不同的；不相容的；外国人，外侨；外星人；让渡，转让
95,allege,宣称，断言；提出…作为理由
96,allergic,对…过敏的；对…极讨厌的
97,alley,小巷；小路；小径
98,alliance,联盟，联合；联姻
99,alligator,短吻鳄（产于美国及中国）；短吻鳄皮革；鳄口式工具；皱裂；裂开；鳄鱼般的；鳄鱼皮革的；鳄鱼皮纹的
100,allot,分配；拨给；分派；(Allot)人名；(英)阿洛特；(西)阿略特；(法)阿洛
101,allowance,津贴，零用钱；允许；限额；定量供应
102,alloy,使成合金；使减低成色；合金
103,ally,同盟国；伙伴；同盟者；助手；使联盟；使联合
104,almighty,全能的；有无限权力的；非常；全能的神
105,almond,扁桃仁；扁桃树
106,alongside,在旁边；在……旁边
107,aloof,冷淡的；远离的；冷漠的；远离；避开地
108,alphabet,字母表，字母系统；入门，初步
109,altar,祭坛；圣坛；圣餐台
110,alter,改变，更改；(Alter)人名；(英)奥尔特；(德、捷、葡、爱沙、立陶、拉脱、俄、西、罗、瑞典)阿尔特
111,altitude,高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔
112,aluminium,铝的；铝
113,alumna,女毕业生；女校友
114,alumnus,男校友；男毕业生
115,amateur,爱好者；业余爱好者；外行；业余的；外行的
116,amazing,令人惊异的；使吃惊（amaze的ing形式）
117,ambassador,大使；代表；使节
118,amber,琥珀色的；琥珀制的；琥珀；琥珀色；使呈琥珀色
119,ambiguity,含糊；不明确；暧昧；模棱两可的话
120,ambition,野心，雄心；抱负，志向；追求；有…野心
121,amenable,有责任的：顺从的，服从的；有义务的；经得起检验的
122,amend,修改；改善，改进；(Amend)人名；(德、英)阿门德
123,amid,在其中，在其间；(Amid)人名；(法、阿拉伯)阿米德
124,amiss,有毛病的，有缺陷的；出差错的；错误地；(Amiss)人名；(英)埃米斯
125,ammeter,[电] 安培计；[电] 电流计
126,ammonia,[无化] 氨，阿摩尼亚
127,amongst,在…之中；在…当中（等于among）
128,ample,丰富的；足够的；宽敞的；(Ample)人名；(西)安普尔
129,analogy,类比；类推；类似
130,anatomy,解剖；解剖学；剖析；骨骼
131,ancestral,祖先的；祖传的
132,anchor,锚；抛锚停泊；靠山；新闻节目主播；抛锚；使固定；主持节目；末棒的；最后一棒的
133,anecdote,轶事；奇闻；秘史
134,angel,天使；守护神；善人；出钱支持
135,angle,钓鱼；谋取；角度，角，方面
136,ankle,踝关节，踝
137,annals,年报；编年史；年鉴
138,annex,附加；获得；并吞；附加物；附属建筑物
139,anniversary,周年纪念日
140,announcer,[广播] 广播员；宣告者
141,annoyance,烦恼；可厌之事；打扰
142,annual,年度的；每年的；年刊，年鉴；一年生植物
143,annul,取消；废除；宣告无效
144,anode,阳极（电解）
145,anonymous,匿名的，无名的；无个性特征的
146,antagonism,对抗，敌对；对立；敌意
147,antecedent,前情；先行词；祖先；先行的；前驱的；先前的
148,antenna,[电讯] 天线；[动] 触角，[昆] 触须
149,anthem,赞美诗；圣歌；唱圣歌庆祝；唱赞歌
150,antibiotic,抗生的；抗菌的；抗生素，抗菌素
151,antic,古怪的；滑稽可笑的；滑稽动作；丑角；扮小丑；做滑稽动作
152,anticipate,预期，期望；占先，抢先；提前使用
153,antiquity,高龄；古物；古代的遗物
154,antiseptic,防腐的，抗菌的；非常整洁的；防腐剂，抗菌剂
155,antonym,[语] 反义词
156,anxiety,焦虑；渴望；挂念；令人焦虑的事
157,ape,[脊椎] 猿；傻瓜；模仿者；模仿；抢台词；狂热的
158,aperture,孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
159,apologetic,道歉的；赔罪的
